"week","description","title","number","detail","date","session","year","duration"
"26","Namentliche Abstimmung über Beschlussempfehlung","Bundeswehreinsatz im Mittelmeer (EUNAVFOR MED)","10","<div class=""bt-top-collapse collapse"">\r\n                – Beratung der Beschlussempfehlung und des Berichts des Auswärtigen Ausschusses (3. Ausschuss) <br>zu dem Antrag der Bundesregierung <br>Fortsetzung der Beteiligung bewaffneter deutscher Streitkräfte an EUNAVFOR MED Operation SOPHIA<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/124/1812491.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12491 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12491</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812868.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12868 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12868</a><br>– Bericht des Haushaltsausschusses (8. Ausschuss) <br>gemäß § 96 der Geschäftsordnung<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812869.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12869 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12869</a><br><br>Namentliche Abstimmung \r\n                              </div>","29. Juni 2017","243","2017",50
"26","Beschlussempfehlung","Bericht des 3. Untersuchungsausschusses (NSU)","11","<div class=""bt-top-collapse collapse"">\r\n                Beratung der Beschlussempfehlung und des Berichts <br>des 3. Untersuchungsausschusses nach Artikel 44 des Grundgesetzes <br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812950.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12950 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12950</a><br> \r\n                              </div>","29. Juni 2017","243","2017",75
"26","beendet","Aktuelle Stunde zur parlamentarischen Kontrolle in Zeiten der großen Koalition","ZP 4","<div class=""bt-top-collapse collapse"">\r\n                Aktuelle Stunde<br>auf Verlangen der Fraktion BÜNDNIS 90/DIE GRÜNEN<br>Parlamentarische Kontrolle in Zeiten der großen Koalition \r\n                              </div>","29. Juni 2017","243","2017",70
"26","Gesetzentwurf","Änderung des StGB - Wohnungseinbruchdiebstahl","12","<div class=""bt-top-collapse collapse"">\r\n                – Zweite und dritte Beratung des von den Fraktionen der CDU/CSU und SPD eingebrachten Entwurfs eines … Gesetzes zur Änderung des Strafgesetzbuches – Wohnungseinbruchdiebstahl<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/123/1812359.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12359 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12359</a><br>– Zweite und dritte Beratung des von der Bundesregierung <br>eingebrachten Entwurfs eines … Gesetzes zur Änderung des Strafgesetzbuches – Wohnungseinbruchdiebstahl<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/127/1812729.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12729 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12729</a><br>Beschlussempfehlung und Bericht des Ausschusses für Recht und Verbraucherschutz (6. Ausschuss)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812933.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12933 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12933</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812995.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12995 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12995</a> \r\n                              </div>","29. Juni 2017","243","2017",50
"26","Antrag","Bürgerversicherung, Absicherung von Selbständigen","13","<div class=""bt-top-collapse collapse"">\r\n                a) Beratung des Antrags der Fraktion BÜNDNIS 90/DIE GRÜNEN<br>Solidarität und Verlässlichkeit, Qualität und Wahlfreiheit in unserem Gesundheitswesen stärken – Einstieg in die Bürgerversicherung<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812951.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12951 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12951</a>\t<br>b) Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Arbeit und Soziales (11. Ausschuss) <br>zu dem Antrag der Fraktion BÜNDNIS 90/DIE GRÜNEN<br>Mit Sicherheit in die Selbständigkeit – Für eine bessere Absicherung von Selbständigen<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/100/1810035.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/10035 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/10035</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/126/1812673.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12673 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12673</a><br><br> \r\n                              </div>","29. Juni 2017","243","2017",55
"26","Gesetzentwurf","Gesetz zur Förderung von Mieterstrom","14","<div class=""bt-top-collapse collapse"">\r\n                – Zweite und dritte Beratung des von den Fraktionen der CDU/CSU und SPD eingebrachten Entwurfs eines Gesetzes zur Förderung von Mieterstrom und zur Änderung weiterer Vorschriften des Erneuerbare-Energien-Gesetzes<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/123/1812355.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12355 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12355</a><br>– Zweite und dritte Beratung des von der Bundesregierung <br>eingebrachten Entwurfs eines Gesetzes zur Förderung von Mieterstrom und zur Änderung weiterer Vorschriften des Erneuerbare-Energien-Gesetzes<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/127/1812728.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12728 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12728</a><br>Beschlussempfehlung und Bericht des Ausschusses für Wirtschaft und Energie (9. Ausschuss)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812988.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12988 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12988</a><br> \r\n                              </div>","29. Juni 2017","243","2017",50
"26","Antrag","Gleichwertige Lebensverhältnisse in Ost und West","15","<div class=""bt-top-collapse collapse"">\r\n                a) Beratung des Antrags der Fraktion DIE LINKE. <br>Für gleichwertige Lebensverhältnisse in allen Regionen in Ost und West<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/117/1811750.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/11750 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/11750</a><br>b) Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Arbeit und Soziales (11. Ausschuss) <br>zu dem Antrag der Fraktion DIE LINKE. <br>Forderung der Vereinten Nationen zu den in der DDR geschiedenen Frauen sofort umsetzen<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/121/1812107.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12107 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12107</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812854.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12854 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12854</a><br><br> \r\n                              </div>","29. Juni 2017","243","2017",50
"26","Namentliche Abstimmung über Beschlussempfehlung","Bundeswehreinsatz im Libanon (UNIFIL)","16","<div class=""bt-top-collapse collapse"">\r\n                – Beratung der Beschlussempfehlung und des Berichts des Auswärtigen Ausschusses (3. Ausschuss) <br>zu dem Antrag der Bundesregierung <br>Fortsetzung der Beteiligung bewaffneter deutscher Streitkräfte an der „United Nations Interim Force in Lebanon“ (UNIFIL)<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/124/1812492.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12492 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12492</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812866.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12866 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12866</a><br>– Bericht des Haushaltsausschusses (8. Ausschuss) gemäß § 96 der Geschäftsordnung<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812867.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12867 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12867</a><br><br>Namentliche Abstimmung \r\n                              </div>","29. Juni 2017","243","2017",35
"26","Gesetzentwurf","Bundespolizeibeauftragtengesetz","17","<div class=""bt-top-collapse collapse"">\r\n                a) Zweite und dritte Beratung des von der Fraktion BÜNDNIS 90/DIE GRÜNEN <br>eingebrachten Entwurfs eines Gesetzes über die unabhängige Polizeibeauftragte oder den unabhängigen Polizeibeauftragten des Bundes (Bundespolizeibeauftragtengesetz – BPolBeauftrG)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/076/1807616.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/7616 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/7616</a><br>Beschlussempfehlung und Bericht des Innenausschusses (4. Ausschuss)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812826.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12826 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12826</a><br>b) Beratung der Beschlussempfehlung und des Berichts des Innenausschusses (4. Ausschuss) <br>zu dem Antrag der Fraktion BÜNDNIS 90/DIE GRÜNEN <br>Aufklärung polizeilichen Fehlverhaltens erleichtern – Ergänzung zum Entwurf eines Gesetzes über die unabhängige Polizeibeauftragte oder den unabhängigen Polizeibeauftragten des Bundes (Bundespolizeibeauftragtengesetz – BPolBeauftrG)<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/076/1807617.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/7617 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/7617</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812826.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12826 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12826</a><br>c) Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Wahlprüfung, Immunität und Geschäftsordnung (1. Ausschuss) <br>zu dem Antrag der Fraktion BÜNDNIS 90/DIE GRÜNEN <br>Änderung der Geschäftsordnung des Deutschen Bundestages<br>hier:\tUmsetzung des Gesetzes über die unabhängige Polizeibeauftragte oder den unabhängigen Polizeibeauftragten des Bundes (Bundespolizeibeauftragtengesetz – BPolBeauftrG)<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/076/1807618.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/7618 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/7618</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812978.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12978 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12978</a> \r\n                              </div>","29. Juni 2017","243","2017",35
"26","Beschlussempfehlung","Verordnung über den Umgang mit Nährstoffen","20","<div class=""bt-top-collapse collapse"">\r\n                Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Ernährung und Landwirtschaft (10. Ausschuss) <br>zu der Verordnung des Bundesministeriums für Ernährung und Landwirtschaft<br>Verordnung über den Umgang mit Nährstoffen im Betrieb und zur Änderung weiterer Vorschriften<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/127/1812731.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12731 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12731</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812879.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12879 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12879</a> Nr.2, 1812921<br> \r\n                              </div>","29. Juni 2017","243","2017",30
"26","Überweisung beschlossen","Überweisungen im vereinfachten Verfahren","35 + 21b","<div class=""bt-top-collapse collapse"">\r\n                a) Beratung des Antrags der Fraktion DIE LINKE.<br>Ausstieg und Umstieg bei dem Bahnprojekt Stuttgart 21<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/100/1810060.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/10060 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/10060</a><br>b) Beratung des Antrags der Fraktion BÜNDNIS 90/DIE GRÜNEN<br>Dialogforum Schiene-Nord ernst nehmen – Erweiterten Lärmschutz beim Schienenausbauprojekt „Alpha-E“ vorantreiben<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812862.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12862 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12862</a><br>d) Beratung des Antrags der Fraktion BÜNDNIS 90/DIE GRÜNEN<br>Umbau der Tierhaltung gestalten und finanzieren<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812947.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12947 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12947</a><br><br>21 b) Beratung des Antrags der Fraktion DIE LINKE.<br>Wahlrecht für alle Menschen mit Behinderungen garantieren<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812941.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12941 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12941</a><br><br> \r\n                              </div>","29. Juni 2017","243","2017",5
